WorkNumber,BarrelBatch,MixingTime1,MixingTime2,MixingTime3,TempSet,SandDischatge_Tem,Packaging_Temp,SandWeight_E,SandWeight_L,SandWeight_E,SandWeight_4C,SandWeight_5V,SandWeight_6C,SandWeight_9R,SandWeight_4V,SandWeight_5C,SandWeight_6V,SandWeight_S5,SandWeight_4R,SandWeight_6R,SandWeight_9V,Resin_RA,Resin_PR877,Resin_K2032,Resin_PR853,Resin_RM893,Resin_RB,Resin_RN815,Resin_KL130,Resin_KL1430L,Resin_KL2031,Resin_Liquid,Hardener_30,Hardener_40,Water,Weight_Calcium,Weight_RedIron,Aumosphere_Temp,Atmosphere_humidty,GrainSize,AFS,UnityPoint,FallingTest,
110000052139 ,4,50,60,15,128,78,38,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,112.0,92.0,98.5,0.0,88.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.35,0.00,2.37,0.00,5.06,0.00,3.33,0.523,0.00,23.1,58.8,60.9,64.65,96,215,
110000052139 ,15,50,60,15,128,78,38,0.0,0.0,0.0,0.0,103.5,0.0,0.0,0.0,115.5,94.0,95.0,0.0,93.0,0.0,0.00,0.00,0.00,0.00,0.00,7.11,0.00,2.32,0.00,2.34,0.00,5.10,0.00,3.35,0.492,0.00,23,59,61.9,66.75,98,198,
110000052139 ,25,50,60,15,128,76,37,0.0,0.0,0.0,0.0,102.5,0.0,0.0,0.0,116.0,89.5,99.0,0.0,91.0,0.0,0.00,0.00,0.00,0.00,0.00,7.00,0.00,2.38,0.00,2.30,0.00,5.06,0.00,3.31,0.495,0.00,22.4,59.2,61.4,65.03,98,210,
110000052139 ,35,50,60,15,128,78,37,0.0,0.0,0.0,0.0,101.5,0.0,0.0,0.0,114.5,99.5,0.0,30.0,149.5,0.0,0.00,0.00,0.00,0.00,0.00,7.05,0.00,2.27,0.00,2.30,0.00,5.06,0.00,3.35,0.486,0.00,22.6,59.8,63.4,67.73,97,206,
110000052139 ,45,50,60,15,128,77,37,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,113.0,101.0,0.0,28.5,149.0,0.0,0.00,0.00,0.00,0.00,0.00,6.99,0.00,2.40,0.00,2.26,0.00,5.05,0.00,3.30,0.493,0.00,22.6,59.5,62.5,64.5,97,208,
110000052375 ,1,50,60,15,133,68,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.5,142.0,0.0,35.0,149.5,0.0,0.00,0.00,0.00,0.00,0.00,7.09,0.00,2.45,0.00,2.31,0.00,5.36,0.00,3.12,0.496,0.00,21.4,58.6,62.8,59.25,96,218,
110000052375 ,4,50,60,15,133,78,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.5,137.0,0.0,36.0,153.0,0.0,0.00,0.00,0.00,0.00,0.00,7.20,0.00,2.38,0.00,2.31,0.00,5.35,0.00,3.23,0.496,0.00,21.4,59.2,61.6,55.95,96,215,
110000052375 ,18,50,60,15,133,78,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,141.5,0.0,30.0,155.0,0.0,0.00,0.00,0.00,0.00,0.00,7.20,0.00,2.34,0.00,2.40,0.00,5.37,0.00,3.28,0.500,0.00,21.5,59,68.5,58.27,97,207,
110000052808 ,1,50,60,15,130,76,37,0,0,0,0,101,123.5,0,0,0,0,113,0,161.5,0,0,0,0,0,0,6.99,0,2.33,0,2.29,0,5.07,0,2.84,0.536,0,21.7,52.1,64.7,63.38,99,241,
110000052808 ,4,50,60,15,130,80,37,0,0,0,0,105,131,0,0,0,0,105.5,0,161,0,0,0,0,0,0,7.06,0,2.4,0,2.33,0,5.1,0,2.82,0.547,0,21.7,51.3,66.5,62.33,98,239,
